,age,traveltime,studytime,freetime,goout,Dalc,Walc,health,absences,sex_M,Pstatus_T,activities_yes,internet_yes,romantic_yes,G1,G2,G3
0,18,2,2,3,4,1,1,3,6,0,0,0,0,0,5,6,6
1,17,1,2,3,3,1,1,3,4,0,1,0,1,0,5,5,6
2,15,1,2,3,2,2,3,3,10,0,1,0,1,0,7,8,10
3,15,1,3,2,2,1,1,5,2,0,1,1,1,1,15,14,15
4,16,1,2,3,2,1,2,5,4,0,1,0,0,0,6,10,10
5,16,1,2,4,2,1,2,5,10,1,1,1,1,0,15,15,15
6,16,1,2,4,4,1,1,3,0,1,1,0,1,0,12,12,11
7,17,2,2,1,4,1,1,1,6,0,0,0,0,0,6,5,6
8,15,1,2,2,2,1,1,1,0,1,0,0,1,0,16,18,19
9,15,1,2,5,1,1,1,5,0,1,1,1,1,0,14,15,15
10,15,1,2,3,3,1,2,2,0,0,1,0,1,0,10,8,9
11,15,3,3,2,2,1,1,4,4,0,1,1,1,0,10,12,12
12,15,1,1,3,3,1,3,5,2,1,1,1,1,0,14,14,14
13,15,2,2,4,3,1,2,3,2,1,1,0,1,0,10,10,11
14,15,1,3,5,2,1,1,3,0,1,0,0,1,1,14,16,16
15,16,1,1,4,4,1,2,2,4,0,1,0,1,0,14,14,14
16,16,1,3,2,3,1,2,2,6,0,1,1,1,0,13,14,14
17,16,3,2,3,2,1,1,4,4,0,1,1,0,0,8,10,10
18,17,1,1,5,5,2,4,5,16,1,1,1,1,0,6,5,5
19,16,1,1,1,3,1,3,5,4,1,1,1,1,0,8,10,10
20,15,1,2,4,1,1,1,1,0,1,1,0,1,0,13,14,15
21,15,1,1,4,2,1,1,5,0,1,1,0,1,0,12,15,15
22,16,1,2,5,1,1,3,5,2,1,1,1,1,0,15,15,16
23,16,2,2,4,4,2,4,5,0,1,1,1,1,0,13,13,12
24,15,1,3,3,2,1,1,5,2,0,1,1,1,0,10,9,8
25,16,1,1,2,2,1,3,5,14,0,1,0,1,0,6,9,8
26,15,1,1,2,2,1,2,5,2,1,1,0,1,0,12,12,11
27,15,1,1,2,4,2,4,1,4,1,1,0,1,0,15,16,15
28,16,1,2,3,3,1,1,5,4,1,0,1,1,0,11,11,11
29,16,1,2,4,5,5,5,5,16,1,1,1,1,1,10,12,11
30,15,1,2,4,2,3,4,5,0,1,1,0,1,0,9,11,12
31,15,2,2,3,1,1,1,5,0,1,1,1,1,0,17,16,17
32,15,1,2,5,2,1,1,5,0,1,1,1,1,1,17,16,16
33,15,1,2,3,2,1,1,2,0,1,1,1,1,0,8,10,12
34,16,1,1,4,3,1,1,5,0,1,1,0,1,0,12,14,15
35,15,2,1,5,1,1,1,5,0,0,1,1,0,0,8,7,6
36,15,1,3,4,3,1,1,4,2,1,1,1,1,0,15,16,18
37,16,2,3,4,3,1,1,5,7,1,0,1,1,1,15,16,15
38,15,1,3,3,2,1,1,5,2,0,1,1,1,0,12,12,11
39,15,1,1,3,1,1,1,2,8,0,1,1,0,0,14,13,13
40,16,2,2,3,3,1,2,3,25,0,1,1,1,1,7,10,11
41,15,1,1,4,3,2,4,5,8,1,1,0,1,1,12,12,12
42,15,1,2,3,3,1,1,5,2,1,1,1,1,0,19,18,18
43,15,1,1,4,1,1,1,1,0,1,1,0,1,0,8,8,11
44,16,2,2,3,3,2,2,5,14,0,1,1,1,0,10,10,9
45,15,1,2,2,2,1,1,5,8,0,0,1,1,1,8,8,6
46,16,1,2,3,5,1,4,3,12,0,0,0,1,0,11,12,11
47,16,1,4,2,2,1,1,2,4,1,1,1,1,0,19,19,20
48,15,1,2,3,3,2,2,5,2,1,1,0,0,0,15,15,14
49,15,1,2,4,4,1,1,3,2,0,1,1,1,0,7,7,7
50,16,3,2,3,3,2,3,4,2,0,1,0,1,0,12,13,13
51,15,1,2,3,3,1,1,5,2,0,1,0,1,0,11,13,13
52,15,2,1,5,5,3,4,5,6,1,0,0,0,0,11,11,10
53,15,1,1,3,4,2,3,5,0,0,1,0,1,0,8,10,11
54,15,1,1,3,4,4,4,1,6,0,0,0,1,0,10,13,13
55,16,1,2,3,4,1,1,2,8,0,0,1,1,1,8,9,10
56,15,1,2,3,2,1,1,1,0,0,0,1,1,0,14,15,15
57,15,1,2,2,2,1,1,5,4,1,1,1,0,0,14,15,15
58,15,1,2,3,2,1,1,5,2,1,1,1,1,0,9,10,9
59,16,1,2,2,3,1,1,5,2,0,1,0,1,0,15,16,16
60,16,1,2,4,4,2,3,4,6,0,1,1,0,0,10,11,11
61,16,4,1,5,5,5,5,5,6,0,1,1,1,1,10,8,11
62,16,1,2,4,3,1,1,1,4,0,1,1,1,0,8,10,9
63,16,1,3,4,4,2,4,4,2,0,1,1,1,0,10,9,9
64,15,1,2,4,4,2,4,2,0,0,1,1,1,1,10,10,10
65,16,3,2,4,3,1,2,1,2,0,1,1,1,0,16,15,15
66,15,1,4,3,3,5,5,3,4,1,0,1,1,1,13,13,12
67,16,1,4,3,3,1,2,5,4,0,1,0,1,0,7,7,6
68,15,2,2,1,3,1,3,4,2,0,1,0,1,0,8,9,8
69,15,2,4,4,2,2,3,3,12,0,1,0,1,0,16,16,16
70,16,2,4,3,2,1,1,5,0,1,1,0,1,0,13,15,15
71,15,1,4,3,3,1,1,3,0,1,1,0,1,0,10,10,10
72,15,1,2,3,4,2,4,5,2,0,1,0,1,1,8,6,5
73,16,1,1,3,2,2,2,5,2,1,1,1,0,0,12,12,14
74,16,1,2,3,3,2,4,5,54,0,1,1,1,0,11,12,11
75,15,1,2,3,3,2,3,5,6,1,1,1,1,0,9,9,10
76,15,2,4,4,3,1,1,1,8,1,1,1,1,0,11,11,10
77,16,1,4,2,3,1,3,3,0,0,1,0,1,1,11,11,11
78,17,2,1,5,1,1,1,3,2,1,1,1,1,0,8,8,10
79,16,1,2,4,3,1,2,3,12,0,1,0,1,0,5,5,5
80,15,1,1,2,2,1,3,3,2,1,1,1,1,1,10,12,12
81,15,1,3,3,2,1,2,5,4,1,1,0,1,0,11,10,11
82,15,1,2,4,4,1,1,5,10,0,1,0,1,0,7,6,6
83,15,2,2,3,3,1,3,4,4,1,1,1,1,0,15,15,15
84,15,1,2,3,2,2,3,4,2,0,1,1,1,0,9,10,10
